SNo,Video URL,Video Title,Video Views,Video Likes,Video Dislikes,Published Date,Channel Name,Channel URL,Subscribers,Total Videos,Total Views,Channel Created Date,Email,Social Links
1,https://www.youtube.com/watch?v=E7Voso411Vs,Step-by-step ASP.NET MVC Tutorial for Beginners | Mosh,3108601,32910,,29/05/2016 10:26:02 am,Programming with Mosh,https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA,2490000,169,118376422,07/10/2014 5:40:53 am,"","http://bit.ly/2OBKf0w
http://codewithmosh.com
http://programmingwithmosh.com
http://www.twitter.com/moshhamedani
https://www.facebook.com/programmingwithmosh"
4,https://www.youtube.com/watch?v=hZ1DASYd9rk,Learn ASP.NET Core MVC (.NET 6) - Full Course,393115,6746,,22/11/2021 7:34:20 pm,freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,5600000,1309,358735925,17/12/2014 2:18:48 am,"",""
6,https://www.youtube.com/watch?v=Pi46L7UYP8I,ASP.NET Core MVC Course (.NET 5),384186,7278,,20/08/2020 7:51:59 pm,freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,5600000,1309,358735925,17/12/2014 2:18:48 am,"",""
7,https://www.youtube.com/watch?v=DUg2SWWK18I,MVC Explained in 4 Minutes,526964,18444,,03/04/2019 9:00:03 pm,Web Dev Simplified,https://www.youtube.com/channel/UCFbNIlppjAuEX4znoulh0Cw,932000,441,63337787,24/05/2018 9:26:39 pm,"",""
8,https://www.youtube.com/watch?v=PQF2x2iFUag,Asp .net Mvc Full CRUD Operation Using Entity Framework DB First,162457,2766,,29/01/2020 8:32:17 pm,Logic Tycoon,https://www.youtube.com/channel/UCsVY8eYpTFfm3Xo-DhVCqug,5300,79,447834,13/01/2018 12:04:02 pm,"","https://logictycoon.blogspot.com/
https://www.facebook.com/logictycoon/
https://twitter.com/LogicTycoon"
