SNo,Video URL,Video Title,Video Views,Video Likes,Video Dislikes,Published Date,Channel Name,Channel URL,Subscribers,Total Videos,Total Views,Channel Created Date,Email,Social Links
1,https://www.youtube.com/watch?v=C5cnZ-gZy2I,Learn ASP.NET Core 3.1 - Full Course for Beginners [Tutorial],1309464,16993,,05/02/2020 9:10:15 pm,freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,5600000,1309,358735925,17/12/2014 2:18:48 am,"","http://connektteacher.com/vdbysubjectList.php?id=16"
2,https://www.youtube.com/watch?v=BfEjDD8mWYg,ASP.NET Core Crash Course - C# App in One Hour,665572,13861,,16/11/2020 8:21:14 pm,freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,5600000,1309,358735925,17/12/2014 2:18:48 am,"","https://www.youtube.com/user/shadsluiter"
4,https://www.youtube.com/watch?v=t3zj0c244UE,What is ASP.NET Core 5,148902,3038,,18/04/2021 1:56:29 pm,kudvenkat,https://www.youtube.com/channel/UCCTVrRB5KpIiK6V2GGVsR1Q,734000,1807,230374681,27/11/2008 1:31:21 am,"","https://www.patreon.com/kudvenkat
https://teespring.com/kudvenkat
https://www.pragimtech.com/support-us/
https://www.pragimtech.com/downloadcourses/
https://www.youtube.com/channel/UC7sEwIXM_YfAMyonQCrGfWA/?sub_confirmation=1
https://www.youtube.com/channel/UCgRFf3_D5H1Qi8pvw2Czyzg"
5,https://www.youtube.com/watch?v=79UWvR734wI,.NET Core vs .NET Framework - What&#39;s the difference?,574662,8539,,15/03/2019 5:00:01 pm,IAmTimCorey,https://www.youtube.com/channel/UC-ptWR16ITQyYOglXyQmpzw,308000,409,24835340,14/10/2011 11:24:47 pm,"","https://www.iamtimcorey.com/p/getting-started-with-net-core
https://youtu.be/4olO9UjRiww"
6,https://www.youtube.com/watch?v=hZ1DASYd9rk,Learn ASP.NET Core MVC (.NET 6) - Full Course,393120,6746,,22/11/2021 7:34:20 pm,freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,5600000,1309,358735925,17/12/2014 2:18:48 am,"",""
